date,p_Aggression_mean,p_Anxiety_mean,p_Disappointment_mean,p_Hope_mean,p_Neutral_mean,p_Uncertainty_mean,p_Aggression_wmean,p_Anxiety_wmean,p_Disappointment_wmean,p_Hope_wmean,p_Neutral_wmean,p_Uncertainty_wmean,emotion_entropy,msg_volume
2018-01-03,0.008793048,0.24463056,0.035582345,0.03883672,0.39773116,0.2744262,0.014547136277071533,0.6196817400966789,0.013645645520926421,0.08028623444845699,0.11448716083484367,0.157352033044056,1.9512087,3
2018-01-04,0.01291345,0.14908399,0.04091483,0.16551945,0.58338165,0.04818661,0.009443452335347184,0.03944399965037364,0.044901013811974456,0.23286320010270586,0.6401147325620604,0.03323357132685652,1.7729652,6
2018-01-05,0.009444751,0.059292153,0.045255154,0.024769634,0.78603363,0.075204685,0.008698833555199383,0.0440725955198025,0.04546154601474865,0.027231685615152042,0.8049952640445377,0.0695400924186436,1.1932162,2
2018-01-06,0.0056426865,0.0337387,0.06364576,0.0063885064,0.6607128,0.22987157,0.005483095439676088,0.04523340242559402,0.08360238917522946,0.006743464648018135,0.7685837969130352,0.09035388651667911,1.3892244,3
2018-01-07,0.015981426,0.45080656,0.038795345,0.015241605,0.4453532,0.033821806,0.010161429031904475,0.1369576469582378,0.0594758081617583,0.018642339264539978,0.7367292021532671,0.03803354175942539,1.5723692,2
2018-01-08,0.028566739,0.37122548,0.027879348,0.016696982,0.50049996,0.055131525,0.03570004217730166,0.5447840614915138,0.021463881150364347,0.019299355743528906,0.336660679405108,0.04209197420298588,1.6501024,5
2018-01-09,0.07725292,0.32494456,0.023821928,0.0103990855,0.25940818,0.30417335,0.1263637441732075,0.3638489718803878,0.028572786448361913,0.010930817518495181,0.2164084117748781,0.25387526449134057,2.036574,9
2018-01-10,0.015711104,0.24255796,0.035471607,0.10865319,0.49195153,0.10565461,0.0141131261235875,0.05317082279585476,0.04931141568475014,0.16283983630793436,0.6673689741922184,0.05319578359201356,1.9546975,5
2018-01-11,0.016010733,0.27068216,0.025228435,0.030716363,0.4310698,0.22629249,0.014564364934564136,0.24216133938650877,0.03170520250156178,0.048811790004401695,0.444431579472863,0.2183256862572512,1.9025375,10
2018-01-12,0.011935935,0.108257994,0.028320607,0.20718917,0.5221769,0.12211935,0.009116167122839148,0.05915372985361882,0.02976330576331085,0.06429366140571223,0.6264659269470003,0.21120721248877333,1.8995818,10
2018-01-13,0.010087599,0.11862974,0.025597947,0.020301476,0.54224867,0.28313455,0.010370194712285034,0.1321506470564217,0.025353877862546528,0.01752878733303379,0.4830801494541763,0.3315163081400582,1.6754538,4
2018-01-14,0.023805177,0.59204257,0.021493262,0.03502586,0.2820897,0.04554351,0.021433452960233378,0.7829685138379144,0.013960776705158467,0.01625988457605394,0.10723503205888865,0.058142409555032595,1.5825292,3
2018-01-15,0.016236626,0.17686477,0.027836204,0.17781606,0.33609688,0.26514944,0.024679812193853234,0.3815969533165999,0.015462888079933235,0.05127484634390714,0.22336560633367367,0.303619899496347,2.1619093,8
2018-01-16,0.01566476,0.4138146,0.036374368,0.019478815,0.3607375,0.15392998,0.015971829474631737,0.38561837568345064,0.04179580469857338,0.023949209004712913,0.45506916850656975,0.07759563154820187,1.8514696,14
2018-01-17,0.031868797,0.2466347,0.054383922,0.04114815,0.4480128,0.17795157,0.01999629783524187,0.4055459955994227,0.04418203159040474,0.02307330655628126,0.38058480361787894,0.12661756471864863,2.0365405,19
2018-01-18,0.012691387,0.2313785,0.023649162,0.21523808,0.31510684,0.20193602,0.011035782652253329,0.168029710769277,0.03245225173232426,0.20585981655961624,0.3842916224060167,0.19833081640331734,2.1643422,12
2018-01-19,0.014453115,0.24654244,0.03405934,0.011949197,0.41332814,0.2796678,0.014608456424618431,0.14629818546923193,0.05183237703922829,0.01482143573208104,0.5175001210377316,0.25493946050685823,1.8697023,13
2018-01-20,0.024813501,0.55367136,0.012723883,0.01030713,0.14996621,0.2485179,0.03275404183689955,0.625790967690289,0.017102108144058274,0.011685833088641937,0.2103050013370835,0.10236203188452077,1.6623605,5
2018-01-21,0.01852885,0.40942466,0.026391553,0.009456153,0.38040796,0.1557908,0.018419284507869872,0.1777549617064824,0.03863688023319756,0.007170787766416718,0.6389490992011795,0.11906903176522762,1.7843844,4
2018-01-22,0.059498686,0.26743224,0.029932857,0.09967792,0.39812642,0.14533186,0.0954666673589518,0.20483488723182533,0.033882688195223776,0.022175863868268902,0.5421551012865644,0.1014847972193912,2.1675758,14
